series,season,episode,episode_name,air_date,summary,mini_challenge,main_challenge,mini_challenge_winner,runway_theme
Rupaul's Drag Race,14,9,"""Menzeses""",2022-03-04,"
For this week's mini-challenge, the queens will photobomb pictures of male celebrities. Willow Pill wins the mini-challenge. For the main challenge, in two teams, the contestants have to create RuPaul's DragCon panel discussion about men. As the mini-challenge winner, Willow Pill gets to choose her team and picks Angeria Paris VanMicheals, DeJa Skye and Lady Camden, which leaves Bosco, Daya Betty, Jasmine Kennedie and Jorgeous on the second team.
On the runway the category is Shoulder Pads. Bosco, DeJa Skye and Willow Pill receive positive critiques, with Bosco winning the challenge. Daya Betty, Jasmine Kennedie and Jorgeous receive negative critiques, with Daya Betty being safe. Jasmine Kennedie and Jorgeous lip-sync to ""Something's Got a Hold on Me” by Etta James. They are both declared the winners of the lip-sync and no one goes home.

Guest Judge: Nicole Byer
Alternating Judge: Carson Kressley
Mini-Challenge: Photobomb famous male celebrities
Mini-Challenge Winner: Willow Pill
Mini-Challenge Prize: A $2,500 cash tip
Main Challenge: Create a RuPaul's DragCon panel discussion about men
Runway Theme: Shoulder Pads
Challenge Winner: Bosco
Main Challenge Prize: A $5,000 cash tip
Bottom Two: Jasmine Kennedie and Jorgeous
Lip-Sync Song: ""Something's Got a Hold on Me"" by Etta James
Eliminated: None
"," A $2,500 cash tip"," A $5,000 cash tip", Willow Pill, Shoulder Pads
Rupaul's Drag Race,14,10,"""Snatch Game""",2022-03-11,"
For this week's mini-challenge, the queens will create an outfit made from bubble wrap. Bosco won the mini-challenge. For the main challenge, the queens will play the Snatch Game. Dove Cameron and Raven star as the celebrity contestants. The cast consisted of:

Angeria Paris VanMicheals as Tammie Brown
Bosco as Gwyneth Paltrow
Daya Betty as Ozzy Osbourne
DeJa Skye as Lil Jon
Jasmine Kennedie as Betsy DeVos
Jorgeous as Ilana Glazer
Lady Camden as William Shakespeare
Willow Pill as Drew Barrymore
On the runway, category is Holy Couture. DeJa Skye wins the challenge. RuPaul then tells the remaining queens that they are all in the bottom, and next week, a lip-sync LaLaPaRUza smackdown will take place in order to determine who will get eliminated.

Guest Judge: Dove Cameron
Alternating Judge: Carson Kressley
Mini-Challenge: Create an outfit made from bubble wrap
Mini-Challenge Winner: Bosco
Mini-Challenge Prize: A $2,500 cash tip
Main Challenge: Snatch Game
Runway Theme: Holy Couture
Challenge Winner: DeJa Skye
Main Challenge Prize: A $5,000 cash tip
Bottom Seven: Angeria Paris VanMicheals, Bosco, Daya Betty, Jasmine Kennedie, Jorgeous, Lady Camden and Willow Pill
"," A $2,500 cash tip"," A $5,000 cash tip", Bosco, Holy Couture
Rupaul's Drag Race,14,11,"""An Extra Special Episode""",2022-03-18,"
Picking up where the last episode ended, the queens all get ready for the lip-sync LaLaPaRUza smackdown. RuPaul states that the bottom seven queens from last week, will all perform in a lip-sync smackdown to determine who will be eliminated. DeJa Skye, for winning last week's challenge, is immune from this challenge. A pit crew member will spin a cage and pick a ball with the queens initials on it, to determine who will lip-sync first. They will then choose who they want to lip-sync against. The queen who gets chosen, will then choose a lip-sync song. This will continue on until the last two remaining lip-sync one last time, to determine who will be eliminated.
Jasmine Kennedie gets picked first and chooses Daya Betty to lip-sync against. Daya Betty then chooses ""Respect"" by Aretha Franklin. Daya Betty wins the lip-sync and Jasmine Kennedie loses. Willow Pill is next to be picked, and chooses Bosco to lip-sync against. Bosco chooses ""Never Too Much"" by Luther Vandross. Willow Pill wins the lip-sync and Bosco loses. The final three queens, Angeria Paris VanMicheals, Jorgeous and Lady Camden, will lip-sync last. The pit crew chooses Jorgeous' name and she picks ""Radio"" by Beyoncé to lip-sync to. Jorgeous wins the lip-sync and Angeria Paris VanMicheals and Lady Camden lose.
The next round continues with Lady Camden getting picked, and chooses Bosco to lip-sync against. Bosco chooses ""Don't Let Go (Love)"" by En Vogue. Lady Camden wins the lip-sync and Bosco loses. Angeria Paris VanMicheals and Jasmine Kennedie then lip-sync to ""Love Don't Cost a Thing"" by Jennifer Lopez. Angeria Paris VanMicheals wins the lip-sync and Jasmine Kennedie loses.
For the final round, Bosco and Jasmine Kennedie will lip-sync to ""Swept Away"" by Diana Ross. Bosco wins the lip-sync. Jasmine Kennedie then opens her chocolate bar to reveal a plain chocolate bar and sashays away.

Alternating Judges: Carson Kressley and Ross Mathews
Main Challenge: Perform in a lip-sync LaLaPaRUza smackdown
Lip-Sync Songs: ""Respect"" by Aretha Franklin, ""Never Too Much"" by Luther Vandross, ""Radio"" by Beyoncé, ""Don't Let Go (Love)"" by En Vogue, ""Love Don't Cost a Thing"" by Jennifer Lopez, and ""Swept Away"" by Diana Ross
Lip-Sync for Your Life Winners: Angeria Paris VanMicheals, Bosco, Daya Betty, Jorgeous, Lady Camden and Willow Pill
Eliminated: Jasmine Kennedie
Farewell Message: ""Dear Ladies I'm so happy to have found a sisters from you all, Hope you all the best P.S. Angie, DeJa, Jorgeous go all the way My forever sisters, Love Jasmine Kennedie <3""
",, Perform in a lip-sync LaLaPaRUza smackdown,,
Rupaul's Drag Race,14,12,"""Moulin Ru: The Rusical""",2022-03-25,"
For this week's main challenge, the queens will participate in Moulin Ru: The Rusical, inspired by Moulin Rouge! (musical).

Angeria Paris VanMicheals plays Charisma
Bosco plays Saltine
Daya Betty plays Uniqueness
DeJa Skye plays Nerve
Jorgeous plays Talent
Lady Camden plays Mama Z
Willow Pill plays Green Fairy
On the runway, category is Mirror, Mirror. Daya Betty, Lady Camden and Willow Pill receive positive critiques, with Lady Camden winning the challenge. Bosco, DeJa Skye and Jorgeous receive negative critiques, with DeJa Skye being safe. Bosco and Jorgeous lip-sync to ""Heartbreak Hotel"" (Hex Hector Remix) by Whitney Houston featuring Faith Evans and Kelly Price. Jorgeous wins the lip-sync. Bosco then opens her chocolate bar to reveal the gold chocolate bar, and is saved from elimination.

Alternating Judge: Ross Mathews
Guest Judge: Andra Day
Main Challenge: Moulin Ru: The Rusical
Runway Theme: Mirror, Mirror
Challenge Winner: Lady Camden
Main Challenge Prize: A $5,000 cash tip and a trip to New York with tickets to Moulin Rouge
Bottom Two: Bosco and Jorgeous
Lip-Sync Song: ""Heartbreak Hotel"" (Hex Hector Remix) by Whitney Houston featuring Faith Evans and Kelly Price
Eliminated: None
",," A $5,000 cash tip and a trip to New York with tickets to Moulin Rouge",," Mirror, Mirror"
Rupaul's Drag Race,14,13,"""The Ross Mathews Roast""",2022-04-01,"
For this week's mini-challenge, the queens will form two teams and paint a mural of either Dolly Parton or RuPaul. Team Dolly Parton consists of Bosco, Daya Betty, Lady Camden and Willow Pill. Team RuPaul consists of Angeria Paris VanMicheals, DeJa Skye and Jorgeous. Team Dolly Parton wins the mini-challenge, with each queen receiving $1,500 worth of Anastasia Beverly Hills cosmetics. For the main challenge, the queens will have a roast of Ross Mathews.
On the runway, category is Tutu Much. Angeria Paris VanMicheals, Bosco, Lady Camden and Willow Pill receive positive critiques, with Bosco winning the challenge. Daya Betty, DeJa Skye and Jorgeous receive negative critiques, with all three being in the bottom. RuPaul then tells them that only one queen will survive this lip-sync, with the other two getting eliminated. They then lip-sync to ""Good 4 U"" by Olivia Rodrigo. Daya Betty wins the lip-sync and DeJa Skye and Jorgeous both sashay away.

Alternating Judge: Ross Mathews
Guest Judge: Dulcé Sloan
Mini-Challenge: In teams, paint a mural of Dolly Parton or RuPaul
Mini-Challenge Winners: Bosco, Daya Betty, Lady Camden and Willow Pill
Mini-Challenge Prize: $1,500 worth of Anastasia Beverly Hills cosmetics
Main Challenge: A roast of Ross Mathews
Runway Theme: Tutu Much
Challenge Winner: Bosco 
Main Challenge Prize: A $5,000 cash tip
Bottom Three: Daya Betty, DeJa Skye and Jorgeous
Lip-Sync Song: ""Good 4 U"" by Olivia Rodrigo
Eliminated: DeJa Skye and Jorgeous 
DeJa Skye's Farewell Message: ""Embrace the curves. Sistah 4 Life. I <3 u all. Ps do you? - Deja Skye <3""
Jorgeous' Farewell Message: ""Success is a journey not a destination. I love you all very much- Gorgeous like Jorgeous <3""
"," $1,500 worth of Anastasia Beverly Hills cosmetics"," A $5,000 cash tip"," Bosco, Daya Betty, Lady Camden and Willow Pill", Tutu Much
Rupaul's Drag Race,14,14,"""Catwalk""",2022-04-08,"
For the final challenge of the season, the queens will write, record and perform their own verses to RuPaul's song ""Catwalk"". 
On the runway, category is You're A Winner Baby. Daya Betty and Lady Camden receive positive critiques, with Lady Camden winning the challenge. Angeria Paris VanMicheals, Bosco and Willow Pill receive negative critiques, with Bosco being safe. Angeria Paris VanMicheals and Willow Pill lip-sync to ""Telephone"" by Lady Gaga ft. Beyoncé. In a shocking outcome, RuPaul saves both queens, leading to a final five finale for the first time ever.

Main Challenge: Write, record and perform their own verses to RuPaul's song ""Catwalk""
Runway Theme: You're A Winner Baby
Challenge Winner: Lady Camden
Main Challenge Prize: A $5,000 cash tip
Bottom Two: Angeria Paris VanMicheals and Willow Pill
Lip-Sync Song: ""Telephone"" by Lady Gaga ft. Beyoncé
Eliminated: None
",," A $5,000 cash tip",, You're A Winner Baby
Rupaul's Drag Race,14,15,"""Reunited""",2022-04-15,"
RuPaul and the contestants reunite to look back at the season.

Maddy Morphosis receives the Golden Boot Award for her episode six Glamazon Prime look.",,,,
Rupaul's Drag Race,14,16,"""Grand Finale""",2022-04-22,"
For the first time since season 11, all the queens return for the grand finale, in front of a live audience. The final five queens then perform to a song that was written specifically for them. Angeria Paris VanMichaels lip-syncs to ""Check My Track Record"", Bosco lip-syncs to ""Devil"", Daya Betty lip-syncs to ""Fighter"", Lady Camden lip-syncs to ""I Fell Down (I Got Up)"" and Willow Pill lip-syncs to ""I Hate People"". After their performances, RuPaul tells the queens that only two queens will be advancing to the final lip-sync of the season. It is announced that the final two queens are Lady Camden and Willow Pill, meaning Angeria Paris VanMichaels, Bosco and Daya Betty are eliminated.
It is then announced that Kornbread ""The Snack"" Jeté is this year's Miss Congeniality. Lady Camden and Willow Pill then lip-sync to ""Gimme! Gimme! Gimme! (A Man After Midnight)"" by Cher. It is announced that Willow Pill is the winner, leaving Lady Camden as the runner-up.

Finals venue: Flamingo Las Vegas, Las Vegas, Nevada
Final Five: Angeria Paris VanMichaels, Bosco, Daya Betty, Lady Camden and Willow Pill
Eliminated: Angeria Paris VanMichaels, Bosco and Daya Betty
Miss Congeniality: Kornbread ""The Snack"" Jeté
Final Two: Lady Camden and Willow Pill
Lip Sync Song: ""Gimme! Gimme! Gimme! (A Man After Midnight)"" by Cher
Runner-up: Lady Camden
Winner of RuPaul's Drag Race Season Fourteen: Willow Pill
",,,,
Drag Race UK,1,1,"""The Royal Queens""",2019-10-03,"
Ten new queens enter the workroom. For the first mini challenge, the queens must do an ""off with your heads"" photoshoot. Scaredy Kat wins the mini challenge. For the maxi challenge, the queens must show off two looks, a look explaining that they are the queen of their hometown and a look inspired by Queen Elizabeth II.
On the runway, Baga Chipz, Sum Ting Wong and The Vivienne receive positive critiques, with Vivienne winning the challenge. Cheryl Hole, Gothy Kendoll and Vinegar Strokes receive negative critiques, with Cheryl being safe. Gothy and Vinegar then lip-sync to ""New Rules"" by Dua Lipa. Vinegar Strokes wins the lip sync and Gothy Kendoll sashays away.

Guest judge: Andrew Garfield
Alternating judge: Alan Carr
Mini challenge: ""Off with your heads"" photoshoot
Mini challenge winner: Scaredy Kat
Maxi challenge: Serve two looks on the runway
Runway themes: Queen of Your Hometown and a look inspired by Queen Elizabeth II
Maxi challenge winner: The Vivienne
Maxi challenge prize: RuPeter Badge
Bottom two: Gothy Kendoll and Vinegar Strokes
Lip sync song: ""New Rules"" by Dua Lipa
Eliminated: Gothy Kendoll
Farewell message: ""I'm the UK's Porkchop! Love you, friends for life! x x x Gothy""
",,,,
Drag Race UK,1,2,"""Downton Draggy""",2019-10-10,"
At the start of the episode, previous challenge winner The Vivienne was asked to rank the queens from top to bottom. Vivienne places herself first and Scaredy Kat last. They were both then declared team captains for the maxi challenge, which sees the queens star in a different drag film adaptions of Downton Abbey called ""Downton Draggy"". Scaredy Kat chooses Blu Hydrangea, Cheryl Hole, Crystal and Divina De Campo. The Vivienne chooses Baga Chipz, Sum Ting Wong and Vinegar Strokes for her team. 
On the runway, category is Bond Girl Glamourama. Team The Vivienne is declared the winning team, with Baga Chipz winning the challenge. Team Scaredy Kat is the losing team. Blu Hydrangea, Cheryl Hole and Scaredy Kat receive negative critiques, with Cheryl  being safe. Blu and Scaredy then lip-sync to ""Venus"" by Bananarama. Blu Hydrangea wins the lip sync and Scaredy Kat sashays away.

Guest judge: Maisie Williams
Alternating judge: Graham Norton
Maxi challenge: Perform in drag film adaptations of Downton Abbey, called ""Downton Draggy""
Runway theme: Bond Girl Glamourama
Maxi challenge winner: Baga Chipz
Mini challenge prize: RuPeter Badge
Bottom two: Blu Hydrangea and Scaredy Kat
Lip sync song: ""Venus"" by Bananarama
Eliminated: Scaredy Kat
Farewell message: ""Scaredy the whole way. 19 now, what's gonna happen when I'm 35. :P Thanks girls. Cya later! Meowx""
",,,,
Drag Race UK,1,3,"""Posh on a Penny""",2019-10-17,"
For this week's mini challenge, the queens do intriguing dance moves around a maypole. Cheryl Hole wins the mini challenge. For the maxi challenge, the queens must create a show-stopping outfit from junk found at a car boot sale.
On the runway, Crystal, Divina De Campo and The Vivienne receive positive critiques, with Divina winning the challenge. Cheryl Hole, Sum Ting Wong and Vinegar Strokes receive negative critiques, with Cheryl being safe. Sum Ting and Vinegar then lip-sync to ""Would I Lie to You?"" by Eurythmics. Sum Ting Wong wins the lip sync and Vinegar Strokes sashays away.

Guest judge: Twiggy
Special guest: Raven
Alternating judge: Graham Norton
Mini challenge: Do some intriguing dance moves around a maypole
Mini challenge winner: Cheryl Hole
Maxi challenge: Create a show-stopping outfit from junk found at a car boot sale
Maxi challenge winner: Divina De Campo
Maxi challenge prize: RuPeter Badge
Bottom two: Sum Ting Wong and Vinegar Strokes
Lip sync song: ""Would I Lie To You?"" by Eurythmics
Eliminated: Vinegar Strokes
Farewell message: ""Long live the OG RPDRUK SLAAAAGS! You're all amazing ♥️ Hodge Podge FOREVER! xxx""
",,,,
Drag Race UK,1,4,"""Snatch Game""",2019-10-24,"
For the maxi challenge, the queens play the Snatch Game. Lorraine Kelly and Stacey Dooley star as guest judges. The cast consisted of:

Baga Chipz as Margaret Thatcher
Blu Hydrangea as Mary Berry
Cheryl Hole as Gemma Collins
Crystal as Rue McClanahan
Divina De Campo as Julia Child
Sum Ting Wong as Sir David Attenborough
The Vivienne as Donald Trump
On the runway, category is Weird Science. Baga Chipz and The Vivienne receive positive critiques and both are declared the winners of the challenge. Crystal, Divina De Campo and Sum Ting Wong receive negative critiques, with Divina being safe. Crystal and Sum Ting then lip-sync to ""Spice Up Your Life"" by Spice Girls. Crystal wins the lip sync and Sum Ting Wong sashays away.

Guest judge: Geri Horner
Snatch Game guests: Lorraine Kelly and Stacey Dooley
Alternating judge: Alan Carr
Maxi challenge: Snatch Game
Runway theme: Weird Science
Maxi challenge winners: Baga Chipz and The Vivienne
Maxi challenge prize: RuPeter Badge
Bottom two: Crystal and Sum Ting Wong
Lip sync song: ""Spice Up Your Life"" by Spice Girls
Eliminated: Sum Ting Wong
Farewell message: ""Love you ALL! Believe in yourselves more than I believe in me you've got in the bag ♥️ Love you long time xoxo STW""
",,,,
Drag Race UK,1,5,"""Girl Groups Battle Royale""",2019-10-31,"
For this week's mini challenge, the queens read each other. Crystal wins the mini challenge. For the maxi challenge, the queens team up and write original lyrics and perform them to ""Break Up (Bye Bye)"". Team 1 consists of Baga Chipz, Blu Hydrangea and Divina De Campo and they form ""The Frock Destroyers"". Team 2 consists of Cheryl Hole, Crystal and The Vivienne and they form ""Filth Harmony"".
On the runway, category is Day at the Races. Team ""The Frock Destroyers"" is declared the winning team, with Baga Chipz, Blu Hydrangea and Divina De Campo all winning the challenge. Team ""Filth Harmony"" is the losing team. Cheryl Hole is declared safe, with Crystal and The Vivienne landing in the bottom two. They lip-sync to ""Power"" by Little Mix. The Vivienne wins the lip sync and Crystal sashays away.

Guest judge: Jade Thirlwall
Alternating judge: Graham Norton
Mini challenge: Reading Is Fundamental
Mini challenge winner: Crystal
Maxi challenge: Write original lyrics and perform them to ""Break Up (Bye Bye)""
Runway theme: Day at the Races
Maxi challenge winners: Baga Chipz, Blu Hydrangea, and Divina De Campo
Maxi challenge prize: RuPeter Badge
Bottom two: Crystal and The Vivienne
Lip sync song: ""Power"" by Little Mix
Eliminated: Crystal
Farewell message: ""YOU'RE A BUNCH OF UGLY, TALENTLESS LITTLE WITCHES – I'M GOING TO MISS YOU!! X""
",,,,
Drag Race UK,1,6,"""Thirsty Werk""",2019-11-07,"
For this week's mini challenge, the queens play Boxers, Briefs or Commando with the pit crew. Divina De Campo wins the mini challenge. For the maxi challenge, the queens will campaign, market and design their own brand of bottled water. 
On the runway, category is Rainy Day Eleganza. Divina De Campo and The Vivienne receive positive critiques, with Vivienne winning the challenge. Baga Chipz, Blu Hydrangea and Cheryl Hole receive negative critiques, with Baga being safe. Blu and Cheryl  then lip-sync to ""Call My Name (Wideboys Remix)"" by Cheryl. Cheryl Hole wins the lip sync and Blu Hydrangea sashays away.

Guest judge: Cheryl
Special Guest: Katya Zamolodchikova
Alternating judge: Graham Norton
Mini challenge: Boxers, Briefs or Commando
Mini challenge winner: Divina De Campo
Mini challenge prize: A video call and insider advice from RuPaul's Drag Race Royalty Katya
Maxi challenge: Campaign, market and design one's own brand of bottled water
Runway theme: Rainy Day Eleganza
Maxi challenge winner: The Vivienne
Maxi challenge prize: RuPeter Badge
Bottom two: Blu Hydrangea and Cheryl Hole
Lip sync song: ""Call My Name (Wideboys Remix)"" by Cheryl
Eliminated: Blu Hydrangea
Farewell message: ""Not just a look Queen! BLU came, BLU slayed, BLU conquered for N.I.♥️ Love you ALL! BLU Hydrangea ♥️""
",,,,
Drag Race UK,1,7,"""Family That Drags Together""",2019-11-14,"
For this week's mini-challenge, the queens have a bitchfest with puppets. Divina De Campo wins the mini-challenge. For the main challenge, the queens will give a member of their family a drag makeover.
On the runway, Divina De Campo and The Vivienne receive positive critiques, with Divina winning the challenge. Baga Chipz and Cheryl Hole receive negative critiques and are in the bottom two. They lip-sync to ""Tears Dry on Their Own"" by Amy Winehouse. Baga Chipz wins the lip sync and Cheryl Hole sashays away.

Guest judge: Michaela Coel
Alternating judge: Alan Carr
Mini challenge: Everybody Loves Puppets
Mini challenge winner: Divina De Campo
Maxi challenge: Give a member of your family a drag makeover
Maxi challenge winner: Divina De Campo
Maxi challenge prize: RuPeter Badge
Bottom two: Baga Chipz and Cheryl Hole
Lip sync song: ""Tears Dry on Their Own” by Amy Winehouse
Eliminated: Cheryl Hole
Farewell message: ""I'm all gamed out! You're finally get rid of me! Kill it top 3 – So Proud! May the best GIRL win XOXO Cheryl Hole ♥""
",,,,
Drag Race UK,1,8,"""Grand Finale""",2019-11-21,"
For the final challenge of the season, the queens will write, record and perform their own verses to RuPaul's song ""Rock It (To The Moon)"". The queens walk the runway one last time. All the previously eliminated queens make an appearance. RuPaul then tells Baga Chipz that she has been eliminated, leaving Divina De Campo and The Vivienne as the final two. They lip-sync to ""I'm Your Man"" by Wham!. The Vivienne is crowned the winner, leaving Divina De Campo as the runner-up.

Alternating judges: Alan Carr & Graham Norton
Maxi challenge: Write, record and perform your own verse to RuPaul's song ""Rock It (To The Moon)""
Runway theme: Final Three Eleganza Extravaganza
Eliminated: Baga Chipz
Final two: Divina De Campo and The Vivienne
Lip sync song: ""I'm Your Man"" by Wham!
Runner-up: Divina De Campo
Winner of RuPaul's Drag Race UK series 1: The Vivienne
",,,,
Drag Race UK,2,1,"""Royalty Returns""",2021-01-14,"
The award winning RuPaul's Drag Race UK returns for a second series. Over the course of ten weeks, twelve of the country's most fabulous drag queens will compete to be crowned the UK's Next Drag Race Superstar. 
In the premiere episode, the queens enter the work room for the first time and quickly take on their first challenge - a tennis photoshoot. For the main challenge, the queens are asked to serve two looks on the runway. Actress and fashion icon Elizabeth Hurley joins Michelle Visage and Graham Norton on the judging panel as the first queen sashays away from the competition. Asttina Mandella, Ellie Diamond and Lawrence Chaney receive positive critiques with Asttina Mandella winning the challenge whereas Bimini Bon Boulash, Joe Black and Sister Sister receive negative critiques with Bimini and Joe having to Lip Sync.

Guest Judge: Elizabeth Hurley
Alternating Judge: Graham Norton
Mini-Challenge: Tennis photoshoot
Mini-Challenge Winner: Lawrence Chaney
Main Challenge:  Serve two looks on the Drag Race runway.
Runway Theme: UK Gay Icons and Queen of Your Home Town
Challenge Winner: Asttina Mandella 
Bottom Two: Bimini Bon-Boulash and Joe Black
Lip sync song: ""Relax"" by Frankie Goes to Hollywood
Eliminated: Joe Black 
Farewell message: ""Auf wiedersehen you camp old bitches. Love you, see you soon ♡ JB""
",: Tennis photoshoot,:  Serve two looks on the Drag Race runway.,: Lawrence Chaney,: UK Gay Icons and Queen of Your Home Town
Drag Race UK,2,2,"""Rats: The Rusical""",2021-01-21,"
After Joe Black's elimination, the queens talk about what happened on last week's episode. For the mini challenge, the contestants have to elect a Drag Race cabinet in the categories Secretary of Shade, Trade Minister, Leader of the House of Loading It Up and Baroness Basic. Respectively A'Whora, Tayce, Lawrence Chaney and Tia Kofi won in those categories.
For the main challenge the contestants had to perform in Rats: The Rusical, after receiving vocal coaching from Michelle Visage and choreography from Jay Revell and Kieran Daley Ward. On the main stage the contestants had to showcase a look in the category Surprise, Surprise. A'Whora, Astinna Mandella, Bimini Bon-Boulash, Ginny Lemon and Sister Sister were safe, while Ellie Diamond, Tia Kofi and Veronica Green were praised for their work. Cherry Valentine, Lawrence Chaney and Tayce were critiqued, with Lawrence Chaney not having to lip sync. Veronica Green won the challenge, while Cherry Valentine and Tayce lip-synced to the song ""Memory"" by Elaine Paige. Cherry Valentine had to leave the competition.

Guest Judge: Sheridan Smith
Alternating Judge: Alan Carr
Mini-Challenge: Elect a Drag Race cabinet
Mini-Challenge Winners: A'Whora, Lawrence Chaney, Tayce and Tia Kofi
Main Challenge:  Rats: The Rusical
Runway Theme: Surprise, Surprise
Challenge Winner: Veronica Green 
Bottom Two: Cherry Valentine and Tayce
Lip sync song: ""Memory"" by Elaine Paige
Eliminated: Cherry Valentine 
Farewell message: ""Always remember. Love yourself first. Can't wait to pop your cherries again! Love C ♡""
",: Elect a Drag Race cabinet,:  Rats: The Rusical,": A'Whora, Lawrence Chaney, Tayce and Tia Kofi",": Surprise, Surprise"
Drag Race UK,2,3,"""Who Wore It Best?""",2021-01-28,"
In the mini challenge at the beginning of the episode the queens had to limbo in quick drag. For the main challenge, the queens chose their drag sister. In the five teams of two, the queens had to create looks with the same colours and fabrics as their drag sister. The winners of the mini challenge, Tayce and Veronica Green, got to assign the colours to the duos. A'Whora and Tayce got the colour black, Ginny Lemon and Sister Sister got pink, Tia Kofi and Veronica Green got green, Asttina Mandella and Bimini Bon-Boulash got blue, and Ellie Diamond and Lawrence Chaney got gold. While creating their looks, RuPaul revealed that in each duo, one queen will wear it best, and the other queen will be in the bottom.
On the main stage, A'Whora, Bimini Bon-Boulash, Lawrence Chaney, Sister Sister and Veronica Green wore it best, with Lawrence Chaney winning the challenge. After untucking in the workroom, Ellie Diamond and Tayce were declared safe. Ginny Lemon received some negative critiques, but was ultimately declared safe. Asttina Mandella and Tia Kofi lipsynced to ""Don't Start Now"" by Dua Lipa. Asttina Mandella had to sashay away.

Guest Judge: Jourdan Dunn
Alternating Judge: Graham Norton
Mini-Challenge: Limbo Extravaganza
Mini-Challenge Winners: Tayce and Veronica Green
Main Challenge: Create a look with the same colors and fabrics as your drag sister
Runway Theme: Who Wore It Best?
Challenge Winner: Lawrence Chaney 
Bottom Two: Asttina Mandella and Tia Kofi
Lip sync song: ""Don't Start Now"" by Dua Lipa
Eliminated: Asttina Mandella 
Farewell message: ""Rude. Always to remember to have RAT BITE FEVER. Love you all FOREVER + ALWAYS. Asttina""
",: Limbo Extravaganza,: Create a look with the same colors and fabrics as your drag sister,: Tayce and Veronica Green,: Who Wore It Best?
Drag Race UK,2,4,"""Morning Glory""",2021-02-04,"
In the mini challenge, the queens had to present a cake as if it was their own in the Great British Fake-Off. Bimini Bon-Boulash won the mini challenge and was, because of that, able to choose her own role for the main challenge. In the main challenge, the queens had to co-host an all new daytime television show Morning Glory.
On the main stage, the queens served looks in a Monster Mashup runway theme. Ellie Diamond, Tayce and Tia Kofi were declared safe. After the judges discussed, A'Whora, Bimini Bon-Boulash and Lawrence Chaney were praised for their work, with Lawrence Chaney winning the challenge. Ginny Lemon, Sister Sister, and Veronica Green received negative critiques. Ginny Lemon and Sister Sister had to lip-sync to the song ""You Keep Me Hangin' On"" by Kim Wilde, though Ginny Lemon left the stage as soon as the song started and quit the competition.

Guest Judge: Lorraine Kelly
Alternating Judge: Alan Carr
Mini-Challenge: Present a cake as if it was your own
Mini-Challenge Winner: Bimini Bon-Boulash
Main Challenge: Host in the new daytime show Morning Glory
Runway Theme: Monster Mashup
Challenge Winner: Lawrence Chaney 
Bottom Two: Ginny Lemon and Sister Sister
Lip sync song: ""You Keep Me Hangin' On"" by Kim Wilde
Quit: Ginny Lemon
Farewell message: ""Witches unite! Fancy a slice? △""
Note: This was the final episode filmed before lockdown. Filming resumed later in the year.
",: Present a cake as if it was your own,: Host in the new daytime show Morning Glory,: Bimini Bon-Boulash,: Monster Mashup
Drag Race UK,2,5,"""The RuRuvision Song Contest""",2021-02-11,"
After a seven month lockdown break, the queens returned to the competition, with the exception of Veronica Green, who was forced to withdraw from the show after testing positive for COVID-19, although she received an open invitation to return for series 3. The previously eliminated queens returned, excluding Ginny Lemon, in order to win a spot back in the competition. After each queen pled their cases to the remaining contestants, Joe Black was voted by the majority to return to the competition.
In the main challenge, the contestants wrote and recorded their own verse to a song they would perform in groups for the RuRuvision Song Contest, with Lawrence Chaney and Joe Black tasked to pick the members of their group. Lawrence Chaney, A'Whora, Bimini Bon-Boulash, and Tayce formed the United Kingdolls while Joe Black, Ellie Diamond, Sister Sister, and Tia Kofi formed Bananadrama. The United Kingdolls won the challenge while Bananadrama received critiques onstage. Ellie Diamond and Sister Sister received mixed critiques but were ultimately declared safe. Joe Black and Tia Kofi received critiques for their mainstage looks and lip-synced to ""Don't Leave Me This Way"" by the Communards, with Joe Black leaving the competition for a second time.

Withdrew: Veronica Green
Returned: Joe Black
Guest Judge: MNEK
Alternating Judge: Graham Norton
Main Challenge: The RuRuvision Song Contest
Runway Theme: A Day at the Seaside
Challenge Winners: A'Whora, Bimini Bon-Boulash, Lawrence Chaney and Tayce 
Bottom Two: Joe Black and Tia Kofi
Lip sync song: ""Don't Leave Me This Way"" by the Communards
Eliminated: Joe Black 
Farewell message: ""I can't be bothered writing another message. I am only capable of so many mirror messages and goodbyes. Bye. (again) See you soon! ♡""
",,: The RuRuvision Song Contest,,: A Day at the Seaside
